timestamp_utc,profile,container,cpu_percent,memory_usage,memory_limit,memory_percent,net_io,block_io,pids
2026-08-02T23:58:26Z,R2,seev-k0-vendor-service-1,0.00%,10.12MiB,5.786GiB,0.17%,29.6kB / 38.1kB,2.24MB / 0B,11
2026-08-02T23:58:33Z,R2,seev-k0-admin-bff-service-1,12.81%,12.84MiB,128MiB,10.03%,4.03kB / 2.23kB,918kB / 0B,10
2026-08-02T23:58:33Z,R2,seev-k0-assurance-service-1,0.00%,9.125MiB,128MiB,7.13%,20.3kB / 26.4kB,958kB / 0B,13
2026-08-02T23:58:33Z,R2,seev-k0-auth-service-1,0.00%,10.5MiB,5.786GiB,0.18%,66kB / 115kB,893kB / 0B,13
2026-08-02T23:58:33Z,R2,seev-k0-fraud-service-1,0.06%,11.73MiB,5.786GiB,0.20%,21.3kB / 17kB,2.28MB / 0B,13
2026-08-02T23:58:33Z,R2,seev-k0-gateway-service-1,10.74%,8.395MiB,5.786GiB,0.14%,44.5kB / 60.6kB,741kB / 0B,13
2026-08-02T23:58:33Z,R2,seev-k0-ledger-service-1,0.21%,10.99MiB,5.786GiB,0.19%,101kB / 165kB,1.27MB / 0B,13
2026-08-02T23:58:33Z,R2,seev-k0-payin-service-1,0.00%,11.74MiB,5.786GiB,0.20%,46.1kB / 51.7kB,938kB / 0B,13
2026-08-02T23:58:33Z,R2,seev-k0-payout-service-1,0.31%,11.8MiB,5.786GiB,0.20%,60.2kB / 117kB,332kB / 0B,13
2026-08-02T23:58:33Z,R2,seev-k0-postgres-1,5.25%,104.6MiB,5.786GiB,1.76%,605kB / 302kB,43.2MB / 455MB,21
2026-08-02T23:58:33Z,R2,seev-k0-rabbitmq-1,6.47%,107.3MiB,5.786GiB,1.81%,54.6kB / 48.5kB,39.5MB / 774kB,37
2026-08-02T23:58:33Z,R2,seev-k0-redis-1,1.01%,6.711MiB,5.786GiB,0.11%,45.9kB / 25.1kB,1.83MB / 4.1kB,6
2026-08-02T23:58:33Z,R2,seev-k0-vendor-service-1,0.00%,10.2MiB,5.786GiB,0.17%,30.2kB / 38.8kB,2.24MB / 0B,11
