timestamp_utc,profile,container,cpu_percent,memory_usage,memory_limit,memory_percent,net_io,block_io,pids
2026-08-02T23:52:26Z,R1,seev-k0-admin-bff-service-1,0.39%,24.28MiB,128MiB,18.97%,2.99kB / 1.49kB,18.9MB / 0B,11
2026-08-02T23:52:26Z,R1,seev-k0-assurance-service-1,0.00%,7.531MiB,128MiB,5.88%,15.5kB / 18.8kB,19MB / 0B,11
2026-08-02T23:52:26Z,R1,seev-k0-auth-service-1,0.00%,21.62MiB,5.786GiB,0.36%,24.8kB / 32.7kB,22.4MB / 0B,13
2026-08-02T23:52:26Z,R1,seev-k0-fraud-service-1,0.04%,8.836MiB,5.786GiB,0.15%,10.6kB / 7.25kB,22MB / 0B,13
2026-08-02T23:52:26Z,R1,seev-k0-gateway-service-1,0.22%,15.28MiB,5.786GiB,0.26%,25.7kB / 31kB,23.4MB / 0B,11
2026-08-02T23:52:26Z,R1,seev-k0-ledger-service-1,0.79%,10.46MiB,5.786GiB,0.18%,46.3kB / 64.7kB,23.4MB / 0B,13
2026-08-02T23:52:26Z,R1,seev-k0-payin-service-1,7.32%,28.2MiB,5.786GiB,0.48%,17kB / 15.7kB,21.5MB / 0B,12
2026-08-02T23:52:26Z,R1,seev-k0-payout-service-1,6.86%,29.9MiB,5.786GiB,0.50%,39.7kB / 65.9kB,23MB / 0B,13
2026-08-02T23:52:26Z,R1,seev-k0-postgres-1,1.47%,96.52MiB,5.786GiB,1.63%,171kB / 90.3kB,43MB / 286MB,21
2026-08-02T23:52:26Z,R1,seev-k0-rabbitmq-1,4.30%,106MiB,5.786GiB,1.79%,19.3kB / 16.9kB,39.4MB / 647kB,37
2026-08-02T23:52:26Z,R1,seev-k0-redis-1,0.56%,6.719MiB,5.786GiB,0.11%,15.2kB / 8.61kB,1.83MB / 0B,6
2026-08-02T23:52:26Z,R1,seev-k0-vendor-service-1,0.00%,11.63MiB,5.786GiB,0.20%,14.6kB / 18.2kB,20MB / 0B,13
2026-08-02T23:52:33Z,R1,seev-k0-admin-bff-service-1,0.00%,24.34MiB,128MiB,19.01%,3.05kB / 1.55kB,18.9MB / 0B,11
2026-08-02T23:52:33Z,R1,seev-k0-assurance-service-1,0.26%,10.31MiB,128MiB,8.06%,15.5kB / 18.8kB,19MB / 0B,13
2026-08-02T23:52:33Z,R1,seev-k0-auth-service-1,38.14%,21.67MiB,5.786GiB,0.37%,26.1kB / 34.6kB,22.4MB / 0B,13
2026-08-02T23:52:33Z,R1,seev-k0-fraud-service-1,0.05%,8.855MiB,5.786GiB,0.15%,10.8kB / 7.49kB,22MB / 0B,13
2026-08-02T23:52:33Z,R1,seev-k0-gateway-service-1,0.64%,15.28MiB,5.786GiB,0.26%,26kB / 31.3kB,23.4MB / 0B,11
2026-08-02T23:52:33Z,R1,seev-k0-ledger-service-1,0.10%,10.46MiB,5.786GiB,0.18%,47.7kB / 67.4kB,23.4MB / 0B,13
2026-08-02T23:52:33Z,R1,seev-k0-payin-service-1,0.00%,28.21MiB,5.786GiB,0.48%,17.2kB / 15.9kB,21.5MB / 0B,12
2026-08-02T23:52:33Z,R1,seev-k0-payout-service-1,0.53%,29.91MiB,5.786GiB,0.50%,40.9kB / 68.6kB,23MB / 0B,13
2026-08-02T23:52:33Z,R1,seev-k0-postgres-1,2.33%,96.52MiB,5.786GiB,1.63%,178kB / 93.9kB,43MB / 286MB,21
2026-08-02T23:52:33Z,R1,seev-k0-rabbitmq-1,0.55%,106MiB,5.786GiB,1.79%,19.7kB / 17.3kB,39.4MB / 647kB,37
2026-08-02T23:52:33Z,R1,seev-k0-redis-1,2.22%,6.473MiB,5.786GiB,0.11%,15.2kB / 8.61kB,1.83MB / 0B,6
2026-08-02T23:52:33Z,R1,seev-k0-vendor-service-1,0.00%,11.63MiB,5.786GiB,0.20%,14.9kB / 18.6kB,20MB / 0B,13
2026-08-02T23:52:41Z,R1,seev-k0-admin-bff-service-1,0.14%,24.4MiB,128MiB,19.06%,3.05kB / 1.55kB,18.9MB / 0B,11
2026-08-02T23:52:41Z,R1,seev-k0-assurance-service-1,0.00%,10.33MiB,128MiB,8.07%,15.7kB / 19kB,19MB / 0B,13
2026-08-02T23:52:41Z,R1,seev-k0-auth-service-1,0.00%,21.82MiB,5.786GiB,0.37%,26.1kB / 34.6kB,22.4MB / 0B,13
2026-08-02T23:52:41Z,R1,seev-k0-fraud-service-1,7.71%,8.969MiB,5.786GiB,0.15%,11.1kB / 7.77kB,22MB / 0B,13
2026-08-02T23:52:41Z,R1,seev-k0-gateway-service-1,0.11%,15.28MiB,5.786GiB,0.26%,26.6kB / 32.2kB,23.4MB / 0B,11
2026-08-02T23:52:41Z,R1,seev-k0-ledger-service-1,8.95%,10.46MiB,5.786GiB,0.18%,49.7kB / 71.8kB,23.4MB / 0B,13
2026-08-02T23:52:41Z,R1,seev-k0-payin-service-1,13.90%,28.28MiB,5.786GiB,0.48%,17.4kB / 16.1kB,21.5MB / 0B,12
2026-08-02T23:52:41Z,R1,seev-k0-payout-service-1,12.81%,30MiB,5.786GiB,0.51%,42kB / 71.4kB,23MB / 0B,13
2026-08-02T23:52:41Z,R1,seev-k0-postgres-1,5.79%,96.52MiB,5.786GiB,1.63%,184kB / 96.4kB,43MB / 286MB,21
2026-08-02T23:52:41Z,R1,seev-k0-rabbitmq-1,91.90%,171.5MiB,5.786GiB,2.89%,20.5kB / 18.1kB,39.4MB / 647kB,72
2026-08-02T23:52:41Z,R1,seev-k0-redis-1,0.88%,6.473MiB,5.786GiB,0.11%,15.2kB / 8.61kB,1.83MB / 0B,6
2026-08-02T23:52:41Z,R1,seev-k0-vendor-service-1,0.00%,11.64MiB,5.786GiB,0.20%,15.4kB / 19.5kB,20MB / 0B,13
2026-08-02T23:52:48Z,R1,seev-k0-admin-bff-service-1,0.00%,24.44MiB,128MiB,19.09%,3.2kB / 1.7kB,18.9MB / 0B,11
2026-08-02T23:52:48Z,R1,seev-k0-assurance-service-1,0.06%,10.37MiB,128MiB,8.10%,15.8kB / 19.1kB,19MB / 0B,13
2026-08-02T23:52:49Z,R1,seev-k0-auth-service-1,2.68%,21.83MiB,5.786GiB,0.37%,28kB / 38kB,22.4MB / 0B,13
2026-08-02T23:52:49Z,R1,seev-k0-fraud-service-1,0.05%,9.004MiB,5.786GiB,0.15%,11.4kB / 8.02kB,22MB / 0B,13
2026-08-02T23:52:49Z,R1,seev-k0-gateway-service-1,4.64%,15.41MiB,5.786GiB,0.26%,27kB / 32.8kB,23.5MB / 0B,11
2026-08-02T23:52:49Z,R1,seev-k0-ledger-service-1,0.37%,10.59MiB,5.786GiB,0.18%,51.9kB / 75.2kB,23.4MB / 0B,13
2026-08-02T23:52:49Z,R1,seev-k0-payin-service-1,1.08%,28.33MiB,5.786GiB,0.48%,17.9kB / 16.5kB,21.5MB / 0B,12
2026-08-02T23:52:49Z,R1,seev-k0-payout-service-1,0.19%,30.05MiB,5.786GiB,0.51%,43.6kB / 75.3kB,23MB / 0B,13
2026-08-02T23:52:49Z,R1,seev-k0-postgres-1,1.83%,96.61MiB,5.786GiB,1.63%,196kB / 102kB,43MB / 286MB,21
2026-08-02T23:52:49Z,R1,seev-k0-rabbitmq-1,116.65%,163.6MiB,5.786GiB,2.76%,21.1kB / 18.7kB,39.4MB / 647kB,71
2026-08-02T23:52:49Z,R1,seev-k0-redis-1,3.08%,6.473MiB,5.786GiB,0.11%,15.6kB / 8.76kB,1.83MB / 0B,6
2026-08-02T23:52:49Z,R1,seev-k0-vendor-service-1,0.00%,11.65MiB,5.786GiB,0.20%,15.7kB / 19.9kB,20MB / 0B,13
